county_fips,county,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate
34019,Hunterdon,2014,47387,39485,7902,0.8332454048578725,0.1667545951421276
34021,Mercer,2014,131564,83605,47959,0.6354701894135174,0.36452981058648265
34023,Middlesex,2014,282860,176428,106432,0.6237290532418864,0.37627094675811357
34025,Monmouth,2014,230391,168331,62060,0.7306318389173189,0.2693681610826812
34027,Morris,2014,179654,132204,47450,0.7358811938504013,0.26411880614959865
34029,Ocean,2014,220941,177605,43336,0.8038571383310477,0.19614286166895234
34031,Passaic,2014,159309,84257,75052,0.5288903953951126,0.4711096046048874
34033,Salem,2014,23832,16773,7059,0.7038016112789527,0.2961983887210473
34035,Somerset,2014,117482,86722,30760,0.7381726562367001,0.2618273437632999
34037,Sussex,2014,54174,44936,9238,0.829475394100491,0.170524605899509
34039,Union,2014,186037,110224,75813,0.592484290759365,0.4075157092406349
34041,Warren,2014,41607,29710,11897,0.714062537553777,0.285937462446223
34001,Atlantic,2015,101813,69152,32661,0.6792059953051182,0.3207940046948818
34003,Bergen,2015,336675,217086,119589,0.644793940744041,0.355206059255959
34005,Burlington,2015,163505,119488,44017,0.7307911073055869,0.269208892694413
34007,Camden,2015,185113,123985,61128,0.6697800802752913,0.3302199197247087
34009,Cape May,2015,38708,29608,9100,0.7649064792807688,0.23509352071923117
34011,Cumberland,2015,50380,32877,17503,0.6525803890432711,0.34741961095672885
34013,Essex,2015,279874,118393,161481,0.4230225029834854,0.5769774970165146
34015,Gloucester,2015,103876,81254,22622,0.7822211097847434,0.21777889021525665
34017,Hudson,2015,255508,76341,179167,0.29878125146766443,0.7012187485323356
34019,Hunterdon,2015,47057,38827,8230,0.8251057228467603,0.17489427715323969
34021,Mercer,2015,127965,80484,47481,0.6289532293986637,0.3710467706013363
34023,Middlesex,2015,280855,174162,106693,0.620113581741468,0.379886418258532
34025,Monmouth,2015,234365,172172,62193,0.7346318776267787,0.26536812237322127
34027,Morris,2015,179480,133438,46042,0.7434700245152663,0.25652997548473366
34029,Ocean,2015,222497,174878,47619,0.7859791367973501,0.21402086320264993
34031,Passaic,2015,157309,82502,74807,0.5244582318875589,0.47554176811244114
34033,Salem,2015,22747,17188,5559,0.7556161252033236,0.24438387479667648
34035,Somerset,2015,117198,87249,29949,0.7444580965545488,0.2555419034454513
34037,Sussex,2015,53190,43479,9711,0.8174280879864636,0.18257191201353637
34039,Union,2015,188035,107462,80573,0.5714999867046029,0.4285000132953971
34041,Warren,2015,41813,29009,12804,0.6937794465835984,0.3062205534164016
34001,Atlantic,2016,96777,65459,31318,0.6763900513551774,0.3236099486448226
34003,Bergen,2016,337227,214790,122437,0.6369300204313415,0.3630699795686585
34005,Burlington,2016,165862,125711,40151,0.7579252631705876,0.2420747368294124
34007,Camden,2016,185512,125281,60231,0.6753255854068739,0.32467441459312607
34009,Cape May,2016,38895,29822,9073,0.7667309422804988,0.2332690577195012
34011,Cumberland,2016,50787,30879,19908,0.6080099237993974,0.3919900762006025
34013,Essex,2016,280734,119868,160866,0.4269807005920195,0.5730192994079805
34015,Gloucester,2016,105436,82966,22470,0.7868849349368338,0.21311506506316627
34017,Hudson,2016,253321,77485,175836,0.3058767334725506,0.6941232665274494
34019,Hunterdon,2016,47195,39579,7616,0.8386269731963132,0.16137302680368684
34021,Mercer,2016,128332,80834,47498,0.6298818689025341,0.37011813109746594
34023,Middlesex,2016,283661,179257,104404,0.6319409435911175,0.3680590564088824
34025,Monmouth,2016,230769,166208,64561,0.7202353869020536,0.2797646130979464
34027,Morris,2016,181059,136087,44972,0.7516168762668523,0.24838312373314775
34029,Ocean,2016,224308,175845,48463,0.7839443978814844,0.2160556021185156
34031,Passaic,2016,163868,83895,79973,0.511966949007738,0.4880330509922621
34033,Salem,2016,24195,16273,7922,0.6725769787146104,0.3274230212853895
34035,Somerset,2016,116169,86798,29371,0.7471700711893878,0.2528299288106121
34037,Sussex,2016,51978,42561,9417,0.818827196121436,0.18117280387856402
34039,Union,2016,187922,110760,77162,0.5893934717595598,0.4106065282404402
34041,Warren,2016,40512,29569,10943,0.7298825039494471,0.2701174960505529
34001,Atlantic,2017,97618,62964,34654,0.6450039951648262,0.35499600483517385
34003,Bergen,2017,338516,215927,122589,0.6378634983279963,0.3621365016720037
34005,Burlington,2017,164248,123012,41236,0.7489406263698797,0.2510593736301203
34007,Camden,2017,190616,125863,64753,0.6602960926679817,0.3397039073320183
34009,Cape May,2017,39526,30613,8913,0.7745028588777008,0.22549714112229924
34011,Cumberland,2017,50696,33559,17137,0.6619654410604386,0.3380345589395613
34013,Essex,2017,284928,128910,156018,0.45243008760107817,0.5475699123989218
34015,Gloucester,2017,105236,85189,20047,0.8095043521228477,0.1904956478771523
34017,Hudson,2017,251906,79978,171928,0.3174914452216303,0.6825085547783697
34019,Hunterdon,2017,45967,37799,8168,0.8223073074161898,0.17769269258381012
34021,Mercer,2017,128757,81741,47016,0.6348470374426245,0.3651529625573755
34023,Middlesex,2017,285446,181906,103540,0.6372693959628091,0.36273060403719093
34025,Monmouth,2017,235727,175403,60324,0.7440938034251486,0.2559061965748514
34027,Morris,2017,180854,133490,47364,0.7381091930507481,0.2618908069492519
34029,Ocean,2017,225847,180631,45216,0.7997936656231874,0.20020633437681262
34031,Passaic,2017,168397,87365,81032,0.518803779164712,0.481196220835288
34033,Salem,2017,24801,16604,8197,0.6694891335026814,0.33051086649731864
34035,Somerset,2017,114812,88392,26420,0.7698846810437934,0.23011531895620665
34037,Sussex,2017,53396,43930,9466,0.8227208030564087,0.1772791969435913
34039,Union,2017,190138,110787,79351,0.5826662739694327,0.4173337260305673
34041,Warren,2017,41366,29866,11500,0.7219939080404196,0.2780060919595803
34001,Atlantic,2018,96981,66859,30122,0.6894030789536094,0.31059692104639053
34003,Bergen,2018,339953,220204,119749,0.6477483652151915,0.3522516347848085
34005,Burlington,2018,166698,125628,41070,0.7536263182521686,0.24637368174783142
34007,Camden,2018,188840,125678,63162,0.6655263715314552,0.3344736284685448
34009,Cape May,2018,39208,31531,7677,0.804198122832075,0.1958018771679249
34011,Cumberland,2018,50034,33770,16264,0.6749410400927369,0.3250589599072631
34013,Essex,2018,289921,129988,159933,0.4483566212864884,0.5516433787135117
34015,Gloucester,2018,101414,81032,20382,0.7990218313053424,0.20097816869465754
34017,Hudson,2018,263924,87480,176444,0.3314590563950228,0.6685409436049772
34019,Hunterdon,2018,47733,39678,8055,0.831248821569983,0.16875117843001697
34021,Mercer,2018,132980,83219,49761,0.6258008723116258,0.3741991276883742
34023,Middlesex,2018,285480,179541,105939,0.6289092055485498,0.3710907944514502
34025,Monmouth,2018,236327,175902,60425,0.7443161382321952,0.2556838617678048
34027,Morris,2018,181738,133030,48708,0.7319878066227207,0.2680121933772794
34029,Ocean,2018,228622,182981,45641,0.8003647942892635,0.1996352057107365
34031,Passaic,2018,169521,88450,81071,0.5217642651942828,0.4782357348057173
34033,Salem,2018,23952,16506,7446,0.689128256513026,0.31087174348697394
34035,Somerset,2018,118729,91176,27553,0.7679336977486545,0.2320663022513455
34037,Sussex,2018,53749,45399,8350,0.8446482725260005,0.15535172747399953
34039,Union,2018,192021,110647,81374,0.576223433895251,0.42377656610474895
34041,Warren,2018,41742,30249,11493,0.7246658042259595,0.27533419577404056
34001,Atlantic,2019,101975,67659,34316,0.663486148565825,0.33651385143417506
34003,Bergen,2019,343733,222292,121441,0.6466996185993198,0.35330038140068015
34005,Burlington,2019,170074,124607,45467,0.7326634288603784,0.26733657113962156
34007,Camden,2019,187780,126990,60790,0.6762701033123868,0.32372989668761315
34009,Cape May,2019,40939,30533,10406,0.7458169471652947,0.25418305283470527
34011,Cumberland,2019,51360,33804,17556,0.6581775700934579,0.34182242990654205
34013,Essex,2019,295976,131638,164338,0.44475903451631216,0.5552409654836878
34015,Gloucester,2019,106705,83415,23290,0.7817346890961061,0.21826531090389392
34017,Hudson,2019,266664,83332,183332,0.3124981249812498,0.6875018750187502
34019,Hunterdon,2019,47901,38527,9374,0.8043047118014238,0.19569528819857623
34021,Mercer,2019,130851,81851,49000,0.6255282726154175,0.37447172738458245
34023,Middlesex,2019,285906,181453,104453,0.6346596433792925,0.3653403566207075
34025,Monmouth,2019,240377,174634,65743,0.7265004555344313,0.2734995444655687
34027,Morris,2019,184885,132419,52466,0.7162235984530925,0.28377640154690753
34029,Ocean,2019,226725,183046,43679,0.8073481089425516,0.19265189105744845
34031,Passaic,2019,168059,88200,79859,0.5248156897280122,0.4751843102719878
34033,Salem,2019,24404,17467,6937,0.7157433207670874,0.28425667923291265
34035,Somerset,2019,122606,91514,31092,0.7464071905126992,0.2535928094873008
34037,Sussex,2019,54099,47108,6991,0.8707739514593615,0.12922604854063846
34039,Union,2019,192848,111662,81186,0.5790155977764871,0.4209844022235128
34041,Warren,2019,42397,29647,12750,0.699271174847277,0.3007288251527231
34001,Atlantic,2020,107137,71428,35708,0.6666977794786115,0.33329288667780504
34003,Bergen,2020,347882,228197,119684,0.6559609292806181,0.3440361961814638
34005,Burlington,2020,172966,130374,42592,0.7537550732513905,0.24624492674860957
34007,Camden,2020,194469,129188,65282,0.6643115355146578,0.3356936066930976
34009,Cape May,2020,44900,34348,10552,0.764988864142539,0.23501113585746103
34011,Cumberland,2020,52622,34535,18086,0.6562844437687659,0.34369655277260464
34013,Essex,2020,309214,137656,171558,0.44518036052701365,0.5548196394729863
34015,Gloucester,2020,109604,87047,22556,0.794195467318711,0.2057954089266815
34017,Hudson,2020,279332,88750,190582,0.31772228029728067,0.6822777197027193
34019,Hunterdon,2020,49596,41550,8047,0.8377691749334624,0.16225098798290186
34021,Mercer,2020,137410,86336,51074,0.6283094389054654,0.3716905610945346
34023,Middlesex,2020,296868,190315,106554,0.6410761685328159,0.35892719996766237
34025,Monmouth,2020,245558,182270,63288,0.7422686290000733,0.2577313709999267
34027,Morris,2020,188866,138860,50006,0.7352302690796649,0.26476973092033507
34029,Ocean,2020,233730,188420,45311,0.8061438411842724,0.19386043725666366
34031,Passaic,2020,172561,90180,82382,0.522597805993243,0.4774079890589415
34033,Salem,2020,24688,17702,6986,0.7170285158781594,0.2829714841218406
34035,Somerset,2020,126772,96028,30744,0.7574858801628119,0.242514119837188
34037,Sussex,2020,56433,49030,7402,0.8688178902415253,0.13116438963018093
34039,Union,2020,197120,113341,83779,0.5749847808441558,0.42501521915584417
34041,Warren,2020,44375,31833,12542,0.7173633802816901,0.28263661971830983
34001,Atlantic,2021,112299,75198,37101,0.6696230598669624,0.3303769401330377
34003,Bergen,2021,352030,234102,117928,0.6650058233673266,0.33499417663267334
34005,Burlington,2021,175859,136141,39718,0.7741486076913892,0.22585139230861087
34007,Camden,2021,201158,131385,69773,0.6531433002913133,0.3468566997086867
34009,Cape May,2021,48860,38163,10697,0.7810683585755219,0.2189316414244781
34011,Cumberland,2021,53883,35266,18617,0.6544921403782269,0.3455078596217731
34013,Essex,2021,322453,143674,178779,0.4455657103515861,0.5544342896484139
34015,Gloucester,2021,112502,90679,21823,0.8060212262893104,0.19397877371068958
34017,Hudson,2021,292000,94167,197833,0.3224897260273973,0.6775102739726028
34019,Hunterdon,2021,51292,44572,6720,0.8689854168291351,0.13101458317086484
34021,Mercer,2021,143970,90821,53149,0.6308328123914705,0.36916718760852957
34023,Middlesex,2021,307831,199177,108654,0.6470335996049781,0.3529664003950219
34025,Monmouth,2021,250738,189905,60833,0.7573842018361796,0.2426157981638204
34027,Morris,2021,192847,145301,47546,0.7534522185981634,0.2465477814018367
34029,Ocean,2021,240736,193793,46943,0.8050021600425362,0.19499783995746378
34031,Passaic,2021,177063,92159,84904,0.5204870582786918,0.47951294172130826
34033,Salem,2021,24973,17937,7036,0.7182557161734674,0.28174428382653266
34035,Somerset,2021,130939,100542,30397,0.767853733417851,0.23214626658214893
34037,Sussex,2021,58767,50953,7814,0.8670342198853098,0.1329657801146902
34039,Union,2021,201392,115020,86372,0.5711249702073568,0.4288750297926432
34041,Warren,2021,46353,34019,12334,0.7339115051884452,0.26608849481155483
34001,Atlantic,2022,106972,74931,32041,0.700473020977452,0.29952697902254793
34003,Bergen,2022,354937,233045,121892,0.6565813087956455,0.3434186912043546
34005,Burlington,2022,176334,135057,41277,0.7659158188437851,0.2340841811562149
34007,Camden,2022,203530,134618,68912,0.6614160074681865,0.3385839925318135
34009,Cape May,2022,48563,37046,11517,0.762844140600869,0.23715585939913103
34011,Cumberland,2022,54961,36759,18202,0.6688197085205874,0.3311802914794127
34013,Essex,2022,321371,148132,173239,0.4609376701693681,0.5390623298306318
34015,Gloucester,2022,111781,90355,21426,0.8083216288993658,0.19167837110063426
34017,Hudson,2022,304526,98457,206069,0.3233122951734827,0.6766877048265173
34019,Hunterdon,2022,50515,43634,6881,0.8637830347421558,0.1362169652578442
34021,Mercer,2022,144989,92391,52598,0.6372276517528916,0.3627723482471084
34023,Middlesex,2022,306950,199382,107568,0.6495585600260628,0.3504414399739371
34025,Monmouth,2022,253767,193351,60416,0.7619233391260487,0.2380766608739513
34027,Morris,2022,194141,145497,48644,0.7494398401162042,0.2505601598837958
34029,Ocean,2022,241983,195515,46468,0.8079699813623271,0.19203001863767288
34031,Passaic,2022,179292,96083,83209,0.5359023269303705,0.46409767306962946
34033,Salem,2022,25221,18889,6332,0.7489393759168946,0.25106062408310537
34035,Somerset,2022,130178,100332,29846,0.7707293090998479,0.2292706909001521
34037,Sussex,2022,58885,50049,8836,0.8499448076759786,0.1500551923240214
34039,Union,2022,202575,115513,87062,0.5702233740589905,0.4297766259410095
34041,Warren,2022,45507,33959,11548,0.7462368426835432,0.2537631573164568
34001,Atlantic,2023,111158,74940,36218,0.6741754979398694,0.32582450206013064
34003,Bergen,2023,356438,231063,125375,0.6482557976422267,0.3517442023577733
34005,Burlington,2023,179477,137492,41985,0.766070304272971,0.2339296957270291
34007,Camden,2023,201670,134076,67594,0.6648286805176774,0.3351713194823226
34009,Cape May,2023,47516,39371,8145,0.828584055896961,0.17141594410303898
34011,Cumberland,2023,54482,36090,18392,0.6624206159832605,0.3375793840167395
34013,Essex,2023,322456,146736,175720,0.455057434192572,0.544942565807428
34015,Gloucester,2023,113391,89768,23623,0.7916677690469262,0.20833223095307388
34017,Hudson,2023,305743,88102,217641,0.28815704693157324,0.7118429530684267
34019,Hunterdon,2023,51186,43834,7352,0.8563669753448209,0.14363302465517916
34021,Mercer,2023,146258,88183,58075,0.6029277031000013,0.3970722968999986
34023,Middlesex,2023,311100,196353,114747,0.6311571841851494,0.3688428158148505
34025,Monmouth,2023,252995,188381,64614,0.7446036482934445,0.25539635170655545
34027,Morris,2023,193192,144520,48672,0.7480641020332105,0.2519358979667895
34029,Ocean,2023,245827,197440,48387,0.8031664544578098,0.19683354554219024
34031,Passaic,2023,178277,97018,81259,0.5441980737840552,0.45580192621594484
34033,Salem,2023,25207,18245,6962,0.7238068790415361,0.27619312095846393
34035,Somerset,2023,132047,98372,33675,0.7449771672207623,0.2550228327792377
34037,Sussex,2023,58679,49903,8776,0.8504405323880775,0.1495594676119225
34039,Union,2023,206095,121379,84716,0.5889468449016231,0.411053155098377
34041,Warren,2023,45263,34186,11077,0.7552747277025385,0.2447252722974615
